ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS,Estado
5028842,M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12190,-691,1,0,0,0,Laborers,3.0,0,0
5028846,F,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13108,-1299,1,0,0,0,,3.0,C,1
5028848,M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-13867,-3095,1,0,0,0,Laborers,3.0,0,0
5028861,M,N,Y,0,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12244,-2944,1,0,0,0,Managers,2.0,C,1
5028863,M,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-16777,-3278,1,0,0,0,,3.0,C,1
5028866,F,N,Y,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15083,-1664,1,0,0,0,Sales staff,5.0,C,1
5028872,F,Y,Y,0,234000.0,Working,Secondary / secondary special,Married,House / apartment,-18795,-2486,1,0,0,0,Laborers,2.0,0,0
5028874,M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,-12072,-1422,1,0,0,1,,5.0,0,0
5028883,F,Y,Y,2,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21798,365243,1,0,0,0,,3.0,C,1
5028885,M,N,N,0,121500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10162,-1422,1,0,0,0,Drivers,1.0,0,0
5028886,F,N,N,0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21861,365243,1,0,0,0,,1.0,0,0
5028889,M,Y,Y,0,270000.0,Working,Lower secondary,Separated,House / apartment,-19164,-3825,1,1,0,0,Laborers,1.0,C,1
5028902,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-9963,-1876,1,0,0,0,Sales staff,2.0,C,1
5028911,M,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-19423,-1056,1,0,0,0,Laborers,2.0,0,0
5028944,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-9430,-721,1,0,0,1,,2.0,0,0
5028945,M,N,Y,0,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15111,-5866,1,0,0,0,,2.0,0,0
5028946,F,N,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-17420,-234,1,0,0,0,,2.0,C,1
5028948,F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20853,365243,1,0,0,0,,2.0,0,0
5028951,M,N,Y,0,103500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19831,-780,1,0,0,0,Laborers,1.0,0,0
5028953,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22283,365243,1,0,0,0,,2.0,C,1
5028974,F,Y,Y,3,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11363,-721,1,0,1,0,High skill tech staff,5.0,C,1
5028983,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,-19063,-2213,1,1,1,1,Laborers,1.0,C,1
5028989,F,N,N,2,81000.0,Working,Lower secondary,Single / not married,House / apartment,-15373,-2333,1,0,0,0,Sales staff,3.0,0,0
5028992,F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23702,365243,1,0,0,0,,1.0,0,0
5028995,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-12262,-356,1,0,0,0,,2.0,0,0
5029005,M,Y,N,1,252000.0,Working,Secondary / secondary special,Married,House / apartment,-17046,-5347,1,0,0,0,Drivers,3.0,0,0
5029008,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13868,-415,1,0,0,0,Laborers,2.0,0,0
5029019,F,N,Y,0,81000.0,Working,Secondary / secondary special,Separated,House / apartment,-18571,-387,1,1,1,0,Cooking staff,1.0,0,0
5029024,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-16888,-3521,1,0,1,0,Medicine staff,2.0,0,0
5029026,F,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15565,-8757,1,0,1,0,Laborers,3.0,C,1
5029031,F,N,Y,2,67500.0,Working,Secondary / secondary special,Married,House / apartment,-12176,-5316,1,0,1,0,High skill tech staff,4.0,C,1
5029032,M,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,With parents,-8781,-599,1,0,0,0,High skill tech staff,1.0,0,0
5029035,F,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19511,-872,1,0,0,0,,1.0,0,0
5029051,M,Y,Y,2,675000.0,Commercial associate,Higher education,Married,House / apartment,-13398,-3003,1,0,0,0,Core staff,4.0,C,1
5029063,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,-9720,-507,1,0,0,1,,3.0,C,1
5029066,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21367,365243,1,0,0,0,,2.0,0,0
5029071,F,N,Y,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,-20063,-1907,1,0,0,0,Laborers,2.0,C,1
5029075,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19923,-964,1,0,0,0,Sales staff,2.0,0,0
5029076,F,N,Y,1,135000.0,Working,Incomplete higher,Separated,House / apartment,-10153,-599,1,0,0,0,Sales staff,2.0,C,1
5029082,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22017,365243,1,0,1,0,,1.0,C,1
5029085,F,N,Y,0,153000.0,Commercial associate,Incomplete higher,Married,House / apartment,-9363,-1056,1,0,0,1,,2.0,0,0
5029091,F,N,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,-22548,365243,1,0,0,0,,2.0,0,0
5029096,M,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,-11564,-2944,1,0,0,1,Managers,4.0,0,0
5029105,M,Y,N,1,315000.0,State servant,Secondary / secondary special,Married,House / apartment,-13230,-3643,1,0,0,1,High skill tech staff,3.0,0,0
5029110,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21290,365243,1,0,0,0,,2.0,0,0
5029120,F,N,Y,0,123750.0,Working,Secondary / secondary special,Married,House / apartment,-16686,-599,1,0,0,0,Cleaning staff,2.0,0,0
5029131,F,N,Y,1,337500.0,State servant,Higher education,Separated,House / apartment,-10429,-1695,1,0,0,0,Core staff,2.0,0,0
5029136,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13970,-2213,1,0,0,1,Managers,2.0,0,0
5029137,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12570,-3095,1,1,0,0,Managers,2.0,0,0
5029141,F,N,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20124,-2412,1,0,0,0,Cooking staff,1.0,0,0
5029142,F,N,Y,0,207000.0,Working,Secondary / secondary special,Widow,House / apartment,-20151,-525,1,0,0,0,Accountants,1.0,0,0
5029144,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22950,365243,1,0,1,0,,2.0,0,0
5029149,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14834,-3813,1,0,1,0,Sales staff,2.0,0,0
5029151,F,N,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-17825,-8410,1,1,1,0,Laborers,2.0,0,0
5029152,F,N,Y,1,67500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-17947,-191,1,0,0,0,,3.0,0,0
5029154,M,Y,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23180,365243,1,0,0,0,,2.0,0,0
5029157,M,N,N,0,202500.0,Working,Higher education,Married,House / apartment,-12546,-3509,1,1,0,0,Core staff,2.0,0,0
5029158,F,Y,N,0,247500.0,Commercial associate,Higher education,Married,House / apartment,-14887,-2170,1,0,0,0,High skill tech staff,2.0,C,1
5029161,F,N,N,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-18598,-4056,1,1,1,0,Laborers,2.0,0,0
5029162,F,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12461,-1805,1,1,0,0,Sales staff,2.0,C,1
5029163,F,N,Y,3,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11677,-3356,1,0,0,0,Laborers,5.0,0,0
5029165,F,N,Y,3,292500.0,Working,Incomplete higher,Married,House / apartment,-12038,-3935,1,1,0,0,,5.0,0,0
5029166,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20412,-5427,1,0,0,0,Managers,2.0,0,0
5029168,F,N,Y,0,117000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20768,365243,1,0,0,0,,2.0,C,1
5029169,F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19684,-12032,1,0,1,0,Medicine staff,3.0,C,1
5029171,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13166,-2991,1,0,1,0,Managers,2.0,0,0
5029172,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21173,365243,1,0,0,0,,2.0,C,1
5029173,F,N,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18981,-2960,1,0,0,0,Sales staff,2.0,C,1
5029175,M,N,N,0,202500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-17642,-3325,1,0,0,0,Laborers,1.0,0,0
5029176,M,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-19653,-11332,1,0,0,0,Drivers,2.0,C,1
5029178,F,N,Y,0,193500.0,Pensioner,Higher education,Married,House / apartment,-20567,365243,1,0,0,0,,2.0,0,0
5029180,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17110,-860,1,0,0,0,Security staff,2.0,0,0
5029181,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17521,-463,1,0,1,0,Drivers,2.0,C,1
5029183,F,N,Y,2,135000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-13346,-585,1,0,1,1,Laborers,4.0,C,1
5029184,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-15973,-4603,1,0,0,0,Laborers,3.0,C,1
5029186,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18924,365243,1,0,1,0,,2.0,0,0
5029187,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22494,365243,1,0,0,0,,2.0,1,0
5029188,M,Y,Y,0,193500.0,State servant,Higher education,Married,House / apartment,-17627,-4816,1,0,1,0,High skill tech staff,2.0,C,1
5029189,F,Y,Y,0,252000.0,State servant,Secondary / secondary special,Married,House / apartment,-13049,-6399,1,1,0,0,Medicine staff,2.0,0,0
5029190,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13241,-2200,1,1,1,0,Sales staff,2.0,0,0
5029191,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-11979,-2959,1,0,0,0,Sales staff,2.0,C,1
5029194,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-19293,-2990,1,0,0,0,Laborers,2.0,C,1
5029195,F,N,Y,0,94500.0,Working,Secondary / secondary special,Married,House / apartment,-18131,-617,1,0,0,0,Laborers,2.0,0,0
5029196,F,N,N,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21821,365243,1,0,0,0,,2.0,C,1
5029198,F,N,Y,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,-12596,-1104,1,1,1,0,Laborers,3.0,0,0
5029199,M,Y,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18896,-1661,1,0,0,0,Laborers,2.0,0,0
5029203,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22115,365243,1,0,1,0,,2.0,C,1
5029220,F,Y,Y,0,108000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21361,365243,1,0,0,0,,2.0,C,1
5029225,F,Y,Y,0,144000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21406,365243,1,0,1,0,,2.0,C,1
5029227,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19408,-4553,1,0,1,0,Laborers,2.0,0,0
5029235,F,N,Y,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-23137,365243,1,0,0,0,,1.0,C,1
5029240,F,N,N,0,247500.0,Pensioner,Higher education,Married,House / apartment,-20939,365243,1,0,1,0,,2.0,C,1
5029244,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-10557,-109,1,0,1,0,Laborers,4.0,0,0
5029247,F,N,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,-21394,365243,1,0,0,0,,2.0,C,1
5029249,M,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-14023,-4280,1,1,0,0,Laborers,2.0,0,0
5029256,M,Y,Y,2,225000.0,Working,Higher education,Married,House / apartment,-13456,-992,1,0,0,0,Drivers,4.0,0,0
5029271,F,N,N,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10448,-535,1,0,0,0,Sales staff,1.0,0,0
5029272,M,Y,Y,0,116653.5,Commercial associate,Secondary / secondary special,Married,House / apartment,-9270,-1661,1,1,1,0,Laborers,2.0,C,1
5029275,M,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17550,-2788,1,0,0,0,Security staff,2.0,C,1
5029276,F,N,N,0,220500.0,Working,Secondary / secondary special,Married,House / apartment,-15130,-170,1,0,0,0,,2.0,0,0
5029298,F,Y,Y,1,247500.0,Working,Incomplete higher,Married,House / apartment,-14046,-353,1,0,0,0,Sales staff,3.0,0,0
5029308,M,Y,Y,2,180000.0,State servant,Secondary / secondary special,Married,With parents,-16721,-1965,1,0,1,0,Laborers,4.0,0,0
5029312,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15488,-2453,1,0,0,0,Laborers,2.0,0,0
5029314,F,N,N,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-15329,-8510,1,0,0,0,Core staff,2.0,C,1
5029317,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15446,-231,1,0,0,0,Sales staff,2.0,0,0
5029318,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22068,365243,1,0,0,0,,2.0,0,0
5029320,F,N,Y,0,40500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18207,365243,1,0,1,0,,2.0,0,0
5029323,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23678,365243,1,0,0,0,,2.0,0,0
5029329,F,Y,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-13192,-2088,1,1,0,0,,2.0,C,1
5029331,F,N,N,0,225000.0,Working,Secondary / secondary special,Separated,House / apartment,-11974,-1388,1,0,0,0,Sales staff,1.0,0,0
5029338,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-19264,-109,1,1,0,0,Sales staff,2.0,C,1
5029342,F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20110,365243,1,0,0,0,,2.0,C,1
5029345,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-10942,-412,1,0,0,0,Drivers,2.0,0,0
5029353,F,Y,Y,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,-14399,-1266,1,0,0,1,Sales staff,1.0,0,0
5029364,F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-13633,-1692,1,0,1,0,Core staff,4.0,C,1
5029373,F,N,Y,0,270000.0,Working,Higher education,Married,House / apartment,-17341,-109,1,0,1,0,,2.0,C,1
5029377,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20844,365243,1,0,0,0,,2.0,0,0
5029388,F,Y,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12594,-3153,1,0,0,0,,2.0,0,0
5029393,M,Y,Y,1,252000.0,Working,Higher education,Married,House / apartment,-18252,-262,1,0,0,0,Security staff,3.0,C,1
5029397,M,Y,Y,0,135000.0,Working,Higher education,Married,House / apartment,-10178,-777,1,1,0,0,Sales staff,2.0,0,0
5029398,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19125,365243,1,0,0,0,,2.0,0,0
5029402,M,N,N,0,135000.0,Working,Higher education,Single / not married,With parents,-11599,-718,1,0,1,0,Laborers,1.0,0,0
5029412,F,N,Y,1,315000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-11206,-2514,1,0,0,1,Core staff,3.0,0,0
5029427,M,Y,Y,2,126000.0,Working,Secondary / secondary special,Married,House / apartment,-10592,-412,1,1,1,1,Drivers,4.0,0,0
5029428,F,N,Y,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-16269,-1358,1,0,0,0,Sales staff,1.0,C,1
5029435,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,-17402,-3153,1,0,1,0,Core staff,2.0,C,1
5029456,F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10551,-3000,1,0,0,1,Core staff,3.0,0,0
5029470,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20371,365243,1,0,0,0,,1.0,0,0
5029476,M,Y,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-16337,-2727,1,1,1,0,,2.0,C,1
5029481,F,N,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14784,-1904,1,0,0,0,Laborers,1.0,0,0
5029492,F,N,Y,0,67500.0,Working,Higher education,Married,House / apartment,-12281,-1508,1,0,0,1,,2.0,C,1
5029505,F,N,Y,0,292500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-22720,365243,1,0,1,0,,2.0,0,0
5029511,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18061,-869,1,0,0,0,,2.0,0,0
5029513,M,Y,Y,0,153000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-18861,-1480,1,1,1,0,Drivers,2.0,C,1
5029529,M,Y,Y,0,112500.0,Pensioner,Lower secondary,Married,House / apartment,-21719,365243,1,0,1,0,,2.0,0,0
5029531,F,N,N,1,81000.0,Working,Higher education,Married,House / apartment,-10388,-657,1,0,0,1,Core staff,3.0,C,1
5029535,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,-12783,-1205,1,0,0,0,Core staff,2.0,0,0
5029540,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-20009,-292,1,1,1,0,Sales staff,1.0,0,0
5029541,F,Y,Y,1,133650.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14596,-1965,1,0,0,0,,3.0,0,0
5029551,F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23751,365243,1,0,0,0,,1.0,C,1
5029560,F,Y,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13354,-2727,1,0,0,0,Laborers,1.0,0,0
5029566,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17147,-3822,1,0,1,0,Sales staff,2.0,C,1
5029574,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15973,-2026,1,0,0,1,Drivers,2.0,0,0
5029580,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-15201,-1845,1,1,1,0,Core staff,2.0,0,0
5029587,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18620,-1904,1,0,0,0,Managers,2.0,0,0
5029589,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-22981,365243,1,0,1,0,,2.0,0,0
5029593,F,N,Y,1,139500.0,Pensioner,Lower secondary,Married,House / apartment,-21735,365243,1,0,0,0,,3.0,0,0
5029603,F,Y,Y,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,-15161,-7140,1,0,0,0,Core staff,1.0,C,1
5029613,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15923,-961,1,0,0,0,Waiters/barmen staff,2.0,0,0
5029628,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20261,365243,1,0,1,0,,2.0,0,0
5029629,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17835,-1266,1,0,0,0,Laborers,1.0,C,1
5029630,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17681,-5649,1,0,1,1,,2.0,0,0
5029633,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14577,-2269,1,0,0,0,Sales staff,2.0,C,1
5029638,F,N,Y,0,270000.0,Working,Higher education,Married,House / apartment,-12291,-1053,1,0,0,0,,2.0,0,0
5029645,F,N,N,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-15842,-1419,1,0,0,0,Waiters/barmen staff,1.0,C,1
5029647,M,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14006,-869,1,1,0,0,Laborers,4.0,0,0
5029650,F,Y,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12767,-4614,1,0,0,0,Sales staff,3.0,C,1
5029652,F,N,Y,0,630000.0,Working,Higher education,Separated,House / apartment,-22001,-1539,1,1,1,0,Accountants,1.0,C,1
5029662,M,Y,N,0,180000.0,Working,Higher education,Separated,House / apartment,-12330,-5466,1,0,0,0,Laborers,1.0,C,1
5029664,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18401,-2149,1,0,0,0,Laborers,2.0,C,1
5029673,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13165,-1022,1,0,0,0,Drivers,3.0,C,1
5029679,M,N,Y,0,63000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20689,365243,1,0,0,0,,1.0,C,1
5029682,F,Y,Y,0,270000.0,Commercial associate,Higher education,Married,House / apartment,-19960,-5679,1,0,0,0,Accountants,2.0,0,0
5029698,M,N,Y,1,202500.0,Working,Higher education,Separated,House / apartment,-18085,-1205,1,0,0,0,Security staff,2.0,C,1
5029711,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10930,-777,1,0,0,0,Core staff,3.0,C,1
5029713,F,Y,Y,1,265500.0,Working,Higher education,Married,With parents,-10998,-2514,1,0,0,0,Accountants,3.0,C,1
5029721,F,N,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,-9778,-2910,1,1,0,1,Core staff,3.0,C,1
5029731,M,Y,Y,0,83250.0,Working,Secondary / secondary special,Married,House / apartment,-18700,-7536,1,0,0,0,,2.0,0,0
5029733,M,N,Y,0,202500.0,Working,Incomplete higher,Single / not married,With parents,-8097,-749,1,0,0,1,,1.0,0,0
5029743,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-21576,-1022,1,0,0,0,Drivers,2.0,0,0
5029746,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10553,-1022,1,0,0,0,Drivers,3.0,0,0
5029751,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-18035,-2026,1,1,1,0,Drivers,2.0,0,0
5029759,F,N,Y,0,225000.0,Working,Higher education,Married,House / apartment,-19930,-3306,1,0,0,0,Managers,2.0,0,0
5029760,M,Y,N,0,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,-21369,-12253,1,0,1,0,Drivers,2.0,0,0
5029767,F,N,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-21215,-808,1,0,0,0,Medicine staff,2.0,C,1
5029794,F,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18256,-2391,1,0,0,0,Sales staff,1.0,C,1
5029796,M,Y,N,1,238500.0,Working,Higher education,Married,With parents,-11384,-1965,1,1,1,0,Drivers,3.0,C,1
5032286,F,N,Y,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-19382,-3352,1,0,0,0,,2.0,0,0
5033410,M,N,N,2,157500.0,Working,Higher education,Married,House / apartment,-13058,-901,1,0,0,0,High skill tech staff,4.0,C,1
5033412,M,Y,Y,0,270000.0,State servant,Secondary / secondary special,Married,House / apartment,-15349,-6046,1,1,0,0,Managers,2.0,C,1
5033415,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-14167,-1815,1,1,0,0,Laborers,1.0,C,1
5033418,M,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10756,-2180,1,0,1,0,Managers,2.0,C,1
5033420,F,Y,N,0,144000.0,Working,Higher education,Married,House / apartment,-19401,-5071,1,1,1,0,Managers,2.0,C,1
5033422,F,N,N,1,270000.0,Working,Secondary / secondary special,Separated,With parents,-10273,-3490,1,1,1,0,Private service staff,2.0,0,0
5033424,M,Y,N,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16577,-1085,1,1,0,0,Drivers,2.0,0,0
5033426,F,N,Y,0,247500.0,Working,Secondary / secondary special,Widow,House / apartment,-20030,-2607,1,0,0,0,Cooking staff,1.0,C,1
5033427,M,Y,Y,0,324000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10403,-687,1,0,0,0,Laborers,1.0,0,0
5033428,M,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15236,-202,1,1,1,0,Medicine staff,3.0,C,1
5033429,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,Office apartment,-9958,-1114,1,0,0,1,Waiters/barmen staff,1.0,0,0
5033431,M,Y,N,2,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15476,-2879,1,0,1,0,Laborers,4.0,C,1
5033437,F,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13033,-3885,1,0,1,0,Laborers,3.0,C,1
5033439,M,Y,N,2,270000.0,Working,Higher education,Married,House / apartment,-11723,-3002,1,0,1,0,,4.0,0,0
5033443,M,N,N,3,225000.0,Commercial associate,Higher education,Married,House / apartment,-12315,-3702,1,0,0,0,Sales staff,5.0,0,0
5033445,F,Y,N,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-10828,-657,1,0,0,0,Core staff,2.0,0,0
5033448,F,N,Y,0,189000.0,Commercial associate,Higher education,Married,House / apartment,-15448,-1875,1,0,0,0,Security staff,2.0,0,0
5033452,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-19143,-5498,1,1,1,0,Core staff,2.0,C,1
5033455,F,Y,N,2,103500.0,Working,Secondary / secondary special,Married,House / apartment,-15493,-872,1,1,1,0,Laborers,4.0,C,1
5033457,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13387,-4341,1,0,1,0,,2.0,0,0
5033461,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17051,-598,1,0,0,0,Sales staff,2.0,0,0
5033462,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12167,-780,1,1,1,0,,2.0,C,1
